name,link,year,employees,avg,median
"Department of Mines, Minerals and Energy",https://govsalaries.com/salaries/VA/department-of-mines-minerals-and-energy?year=2020,2020,177,70125,70125
Virginia Correctional Enterprises,https://govsalaries.com/salaries/VA/virginia-correctional-enterprises?year=2020,2020,177,50610,50610
Floyd County,https://govsalaries.com/salaries/VA/floyd-county?year=2020,2020,177,36578,36578
Sussex County,https://govsalaries.com/salaries/VA/sussex-county?year=2020,2020,175,34255,34255
Central Virginia Training Center,https://govsalaries.com/salaries/VA/central-virginia-training-center?year=2020,2020,172,24128,24128
Dickenson County,https://govsalaries.com/salaries/VA/dickenson-county?year=2020,2020,171,26345,26345
Baskerville Correctional Center,https://govsalaries.com/salaries/VA/baskerville-correctional-center?year=2020,2020,169,37641,37641
Western Regional Correctional Unit,https://govsalaries.com/salaries/VA/western-regional-correctional-unit?year=2020,2020,166,36090,36090
Eastern Shore Community College,https://govsalaries.com/salaries/VA/eastern-shore-community-college?year=2020,2020,165,20199,20199
Marine Resources Commission,https://govsalaries.com/salaries/VA/marine-resources-commission?year=2020,2020,164,51205,51205
Marine Resources Commission,https://govsalaries.com/salaries/VA/marine-resources-commission?year=2020,2020,164,51205,51205
The Library of Virginia,https://govsalaries.com/salaries/VA/the-library-of-virginia?year=2020,2020,164,45034,45034
Richmond County,https://govsalaries.com/salaries/VA/richmond-county?year=2020,2020,162,23710,23710
Department of Accounts,https://govsalaries.com/salaries/VA/department-of-accounts?year=2020,2020,161,76722,76722
Western Tidewater Regional Jail,https://govsalaries.com/salaries/VA/western-tidewater-regional-jail?year=2020,2020,157,44052,44052
Wythe County,https://govsalaries.com/salaries/VA/wythe-county?year=2020,2020,155,39601,39601
Department of Criminal Justice Services,https://govsalaries.com/salaries/VA/department-of-criminal-justice-services?year=2020,2020,152,57294,57294
Jefferson-Madison Regional Library,https://govsalaries.com/salaries/VA/jefferson-madison-regional-library?year=2020,2020,150,25317,25317
Southeastern Public Service Authority,https://govsalaries.com/salaries/VA/southeastern-public-service-authority?year=2020,2020,149,44129,44129
Mathews County,https://govsalaries.com/salaries/VA/mathews-county?year=2020,2020,149,20977,20977
Prince Edward County,https://govsalaries.com/salaries/VA/prince-edward-county?year=2020,2020,145,29947,29947
Town of Warrenton,https://govsalaries.com/salaries/VA/town-of-warrenton?year=2020,2020,144,54747,54747
Town of Richlands,https://govsalaries.com/salaries/VA/town-of-richlands?year=2020,2020,144,26734,26734
Northern Virginia Regional Park Authority,https://govsalaries.com/salaries/VA/northern-virginia-regional-park-authority?year=2020,2020,143,61710,61710
Capitol Police,https://govsalaries.com/salaries/VA/capitol-police?year=2020,2020,143,43017,43017
