name,link,year,employees,avg,median
Virginia Board For People With Disabilities,https://govsalaries.com/salaries/VA/virginia-board-for-people-with-disabilities?year=2020,2020,15,46702,46702
Virginia Foundation for Healthy Youth,https://govsalaries.com/salaries/VA/virginia-foundation-for-healthy-youth?year=2020,2020,15,83642,83642
Virginia Tobacco Region Revitalization Commission,https://govsalaries.com/salaries/VA/virginia-tobacco-region-revitalization-commission?year=2020,2020,15,73462,73462
Secretary of Administration,https://govsalaries.com/salaries/VA/secretary-of-administration?year=2020,2020,15,82189,82189
Governor's School for the Arts,https://govsalaries.com/salaries/VA/governor-s-school-for-the-arts?year=2020,2020,14,62323,62323
Office of Children's Services,https://govsalaries.com/salaries/VA/office-of-children-s-services?year=2020,2020,14,72569,72569
Town of Parksley,https://govsalaries.com/salaries/VA/town-of-parksley?year=2020,2020,14,16828,16828
Heritage Library,https://govsalaries.com/salaries/VA/heritage-library?year=2020,2020,14,20411,20411
"Board of Regents, Gunston Hall",https://govsalaries.com/salaries/VA/board-of-regents-gunston-hall?year=2020,2020,14,21512,21512
Jamestown-Yorktown Commemorations,https://govsalaries.com/salaries/VA/jamestown-yorktown-commemorations?year=2020,2020,13,7851,7851
Town of Ivor,https://govsalaries.com/salaries/VA/town-of-ivor?year=2020,2020,13,2469,2469
Culpeper Soil and Water Conservation District,https://govsalaries.com/salaries/VA/culpeper-soil-and-water-conservation-district?year=2020,2020,12,50641,50641
Service Authority of Roanoke River,https://govsalaries.com/salaries/VA/service-authority-of-roanoke-river?year=2020,2020,12,36632,36632
Virginia Department For The Deaf and Hard of Hearing,https://govsalaries.com/salaries/VA/virginia-department-for-the-deaf-and-hard-of-hearing?year=2020,2020,12,50033,50033
Central Virginia Waste Management Authority,https://govsalaries.com/salaries/VA/central-virginia-waste-management-authority?year=2020,2020,12,54083,54083
Town of Urbanna,https://govsalaries.com/salaries/VA/town-of-urbanna?year=2020,2020,12,13940,13940
Northern Virginia Soil &amp; Water Conservation District,https://govsalaries.com/salaries/VA/northern-virginia-soil-water-conservation-district?year=2020,2020,11,45325,45325
Town of Stephens City,https://govsalaries.com/salaries/VA/town-of-stephens-city?year=2020,2020,11,35193,35193
Town of Brodnax,https://govsalaries.com/salaries/VA/town-of-brodnax?year=2020,2020,11,15370,15370
Commission on Virginia Alcohol Safety Action Program,https://govsalaries.com/salaries/VA/commission-on-virginia-alcohol-safety-action-program?year=2020,2020,11,56313,56313
Regional Learning Academy,https://govsalaries.com/salaries/VA/regional-learning-academy?year=2020,2020,11,29659,29659
Lee County Redevelopment and Housing Authority,https://govsalaries.com/salaries/VA/lee-county-redevelopment-and-housing-authority?year=2020,2020,10,36652,36652
Town of Floyd,https://govsalaries.com/salaries/VA/town-of-floyd?year=2020,2020,10,23182,23182
Town of Fries,https://govsalaries.com/salaries/VA/town-of-fries?year=2020,2020,10,58551,58551
Town of Troutville,https://govsalaries.com/salaries/VA/town-of-troutville?year=2020,2020,10,12287,12287
Town of Fries,https://govsalaries.com/salaries/VA/town-of-fries?year=2020,2020,10,58551,58551
Town of Buchanan,https://govsalaries.com/salaries/VA/town-of-buchanan?year=2020,2020,9,30951,30951
Town of Boydton,https://govsalaries.com/salaries/VA/town-of-boydton?year=2020,2020,8,32750,32750
Town of Haymarket,https://govsalaries.com/salaries/VA/town-of-haymarket?year=2020,2020,8,74558,74558
Town of Washington,https://govsalaries.com/salaries/VA/town-of-washington?year=2020,2020,8,6796,6796
Town of Drakes Branch,https://govsalaries.com/salaries/VA/town-of-drakes-branch?year=2020,2020,8,16183,16183
Town of Eastville,https://govsalaries.com/salaries/VA/town-of-eastville?year=2020,2020,8,52015,52015
Town of Boones Mill,https://govsalaries.com/salaries/VA/town-of-boones-mill?year=2020,2020,8,19016,19016
Commonwealth's Attorneys' Services Council,https://govsalaries.com/salaries/VA/commonwealth-s-attorneys-services-council?year=2020,2020,8,65975,65975
Northern Neck Soil and Water Conservation District,https://govsalaries.com/salaries/VA/northern-neck-soil-and-water-conservation-district?year=2020,2020,7,48566,48566
Hanover-Caroline Soil and Water Conservation District,https://govsalaries.com/salaries/VA/hanover-caroline-soil-and-water-conservation-district?year=2020,2020,7,78509,78509
Virginia Commission For The Arts,https://govsalaries.com/salaries/VA/virginia-commission-for-the-arts?year=2020,2020,7,50453,50453
Southwestern Virginia Training Center,https://govsalaries.com/salaries/VA/southwestern-virginia-training-center?year=2020,2020,7,4885,4885
Secretary of Commerce and Trade,https://govsalaries.com/salaries/VA/secretary-of-commerce-and-trade?year=2020,2020,7,78710,78710
Secretary of Veterans and Defense Affairs,https://govsalaries.com/salaries/VA/secretary-of-veterans-and-defense-affairs?year=2020,2020,7,91120,91120
Town of Irvington,https://govsalaries.com/salaries/VA/town-of-irvington?year=2020,2020,6,16043,16043
Town of Phenix,https://govsalaries.com/salaries/VA/town-of-phenix?year=2020,2020,6,6286,6286
Secretary of Transportation,https://govsalaries.com/salaries/VA/secretary-of-transportation?year=2020,2020,6,85907,85907
Town of Scottsville,https://govsalaries.com/salaries/VA/town-of-scottsville?year=2020,2020,6,31220,31220
Town of Irvington,https://govsalaries.com/salaries/VA/town-of-irvington?year=2020,2020,6,16043,16043
Town of Wakefield,https://govsalaries.com/salaries/VA/town-of-wakefield?year=2020,2020,6,42199,42199
Town of Phenix,https://govsalaries.com/salaries/VA/town-of-phenix?year=2020,2020,6,6286,6286
Woodway Water and Sewer Authority,https://govsalaries.com/salaries/VA/woodway-water-and-sewer-authority?year=2020,2020,6,44102,44102
Town of Scottsville,https://govsalaries.com/salaries/VA/town-of-scottsville?year=2020,2020,6,31220,31220
Town of Charlotte Court House,https://govsalaries.com/salaries/VA/town-of-charlotte-court-house?year=2020,2020,5,9062,9062
Town of Claremont,https://govsalaries.com/salaries/VA/town-of-claremont?year=2020,2020,5,4845,4845
Alleghany Highlands Regional Library,https://govsalaries.com/salaries/VA/alleghany-highlands-regional-library?year=2020,2020,5,27514,27514
Lieutenant Governor's Office,https://govsalaries.com/salaries/VA/lieutenant-governor-s-office?year=2020,2020,5,45050,45050
Town of Boyce,https://govsalaries.com/salaries/VA/town-of-boyce?year=2020,2020,5,11676,11676
Secretary of Health and Human Resources,https://govsalaries.com/salaries/VA/secretary-of-health-and-human-resources?year=2020,2020,5,79463,79463
Tri-County City Soil and Water Conservation District,https://govsalaries.com/salaries/VA/tri-county-city-soil-and-water-conservation-district?year=2020,2020,5,47679,47679
Town of Cleveland,https://govsalaries.com/salaries/VA/town-of-cleveland?year=2020,2020,4,5308,5308
Town of Clinchco,https://govsalaries.com/salaries/VA/town-of-clinchco?year=2020,2020,4,8386,8386
Town of Iron Gate,https://govsalaries.com/salaries/VA/town-of-iron-gate?year=2020,2020,4,20311,20311
Blue Ridge Virtual Governor's School,https://govsalaries.com/salaries/VA/blue-ridge-virtual-governor-s-school?year=2020,2020,4,70894,70894
Secretary of Finance,https://govsalaries.com/salaries/VA/secretary-of-finance?year=2020,2020,4,128292,128292
Secretary of Natural Resources,https://govsalaries.com/salaries/VA/secretary-of-natural-resources?year=2020,2020,4,118463,118463
Peanut Soil and Water Conservation District,https://govsalaries.com/salaries/VA/peanut-soil-and-water-conservation-district?year=2020,2020,4,58494,58494
Chowan Basin Conservation District,https://govsalaries.com/salaries/VA/chowan-basin-conservation-district?year=2020,2020,3,39472,39472
James River Soil and Water Conservation District,https://govsalaries.com/salaries/VA/james-river-soil-and-water-conservation-district?year=2020,2020,3,39952,39952
Tazewell Soil and Water Conservation District,https://govsalaries.com/salaries/VA/tazewell-soil-and-water-conservation-district?year=2020,2020,3,38450,38450
Pittsylvania Soil and Water Conservation District,https://govsalaries.com/salaries/VA/pittsylvania-soil-and-water-conservation-district?year=2020,2020,3,49946,49946
Peter Francisco Soil and Water Conservation District,https://govsalaries.com/salaries/VA/peter-francisco-soil-and-water-conservation-district?year=2020,2020,3,41625,41625
Henricopolis Soil and Water Conservation District,https://govsalaries.com/salaries/VA/henricopolis-soil-and-water-conservation-district?year=2020,2020,3,45595,45595
Soil and Water Conservation District of Natural Tunnel,https://govsalaries.com/salaries/VA/soil-and-water-conservation-district-of-natural-tunnel?year=2020,2020,3,44966,44966
Secretary of Agriculture and Forestry,https://govsalaries.com/salaries/VA/secretary-of-agriculture-and-forestry?year=2020,2020,3,102191,102191
Tidewater Soil and Water Conservation District,https://govsalaries.com/salaries/VA/tidewater-soil-and-water-conservation-district?year=2020,2020,3,44211,44211
Eastern Shore Soil and Water Conservation District,https://govsalaries.com/salaries/VA/eastern-shore-soil-and-water-conservation-district?year=2020,2020,3,54600,54600
Chowan Basin Conservation District,https://govsalaries.com/salaries/VA/chowan-basin-conservation-district?year=2020,2020,3,39472,39472
Town of Montross,https://govsalaries.com/salaries/VA/town-of-montross?year=2020,2020,2,53170,53170
Alleghany Highlands Economic Development Corporation,https://govsalaries.com/salaries/VA/alleghany-highlands-economic-development-corporation?year=2020,2020,2,61406,61406
Town of Stony Creek,https://govsalaries.com/salaries/VA/town-of-stony-creek?year=2020,2020,2,3297,3297
Town of Surry,https://govsalaries.com/salaries/VA/town-of-surry?year=2020,2020,2,12487,12487
Appomattox River Soil and Water Conservation District,https://govsalaries.com/salaries/VA/appomattox-river-soil-and-water-conservation-district?year=2020,2020,2,46550,46550
Virginia Dare Soil and Water Conservation District,https://govsalaries.com/salaries/VA/virginia-dare-soil-and-water-conservation-district?year=2020,2020,2,60348,60348
Virginia Israel Advisory Board,https://govsalaries.com/salaries/VA/virginia-israel-advisory-board?year=2020,2020,2,58079,58079
Town of Fincastle,https://govsalaries.com/salaries/VA/town-of-fincastle?year=2020,2020,2,30000,30000
Lonesome Pine Soil and Water Conservation District,https://govsalaries.com/salaries/VA/lonesome-pine-soil-and-water-conservation-district?year=2020,2020,2,47292,47292
Big Sandy Soil and Water Conservation District,https://govsalaries.com/salaries/VA/big-sandy-soil-and-water-conservation-district?year=2020,2020,2,28653,28653
Industrial Development Authority of Brunswick County,https://govsalaries.com/salaries/VA/industrial-development-authority-of-brunswick-county?year=2020,2020,2,82143,82143
Virginia Israel Advisory Board,https://govsalaries.com/salaries/VA/virginia-israel-advisory-board?year=2020,2020,2,58079,58079
Virginia Veterans Services Foundation,https://govsalaries.com/salaries/VA/virginia-veterans-services-foundation?year=2020,2020,2,48613,48613
Town of The Plains,https://govsalaries.com/salaries/VA/town-of-the-plains?year=2020,2020,1,32000,32000
Project Return Fluvanna County,https://govsalaries.com/salaries/VA/project-return-fluvanna-county?year=2020,2020,1,51005,51005
Virginia Department of Accounts - Transfer Payments,https://govsalaries.com/salaries/VA/virginia-department-of-accounts-transfer-payments?year=2020,2020,1,118758,118758
Town of Dillwyn,https://govsalaries.com/salaries/VA/town-of-dillwyn?year=2020,2020,1,25400,25400
Town of Port Royal,https://govsalaries.com/salaries/VA/town-of-port-royal?year=2020,2020,1,24000,24000
